source,component,lengthscale_multiplier,reference_distance_scale,resolved_lengthscale,n_finite_offdiagonal_pairs,n_identical_pairs,fraction_identical_pairs,n_nonidentical_pairs,kernel_q05_nonidentical,kernel_q25_nonidentical,kernel_median_nonidentical,kernel_q75_nonidentical,kernel_q95_nonidentical,fraction_nonidentical_kernel_lt_1e-3,fraction_nonidentical_kernel_lt_0p01,fraction_nonidentical_kernel_gt_0p9
z_scales,134,1.0,3.05129229668588,3.05129229668588,595,210,0.35294117647058826,385,0.7848642072160561,0.7848642072160562,0.7848642072160562,0.7848642072160562,1.0,0.0,0.0,0.23636363636363636
z_scales,134,2.0,3.05129229668588,6.10258459337176,595,210,0.35294117647058826,385,0.9412362199351404,0.9412362199351404,0.9412362199351404,0.9412362199351404,1.0,0.0,0.0,1.0
z_scales,304,0.5,3.05129229668588,1.52564614834294,595,131,0.22016806722689075,464,0.019691347334008902,0.03725118242623994,0.06260493647425805,0.22615511549059134,0.5668451036022613,0.0,0.02586206896551724,0.008620689655172414
z_scales,304,1.0,3.05129229668588,3.05129229668588,595,131,0.22016806722689075,464,0.37460093598987937,0.43932408751532775,0.5002097409378221,0.6896069089848523,0.8676930120642508,0.0,0.0,0.036637931034482756
z_scales,304,2.0,3.05129229668588,6.10258459337176,595,131,0.22016806722689075,464,0.7823340172611376,0.8141346780791365,0.8409845865864461,0.9112769829183528,0.9651426884415131,0.0,0.0,0.30603448275862066
z_scales,330,0.5,3.05129229668588,1.52564614834294,595,286,0.48067226890756304,309,0.030447414445159183,0.030447414445159183,0.2232750314244929,0.2232750314244929,0.37952281596773424,0.0,0.0,0.04854368932038835
z_scales,330,1.0,3.05129229668588,3.05129229668588,595,286,0.48067226890756304,309,0.4177222462496739,0.4177222462496739,0.6874008103757986,0.6874008103757986,0.784891222624407,0.0,0.0,0.04854368932038835
z_scales,330,2.0,3.05129229668588,6.10258459337176,595,286,0.48067226890756304,309,0.8039367858209722,0.8039367858209722,0.9105472979682924,0.9105472979682924,0.9412443192828982,0.0,0.0,0.5339805825242718
atchley,99,0.5,3.532380713144198,1.766190356572099,595,223,0.37478991596638656,372,0.025311827123226677,0.028179349841470257,0.028179349841470257,0.13533528323661267,0.29664417089613676,0.0,0.0,0.0
atchley,99,1.0,3.532380713144198,3.532380713144198,595,223,0.37478991596638656,372,0.39886954146090653,0.40971582837998727,0.40971582837998727,0.6065306597126334,0.7380044061106944,0.0,0.0,0.0
atchley,99,2.0,3.532380713144198,7.064761426288396,595,223,0.37478991596638656,372,0.7947082444255263,0.8000565508296399,0.8000565508296399,0.8824969025845953,0.9268612777867119,0.0,0.0,0.11827956989247312
atchley,134,0.5,3.532380713144198,1.766190356572099,595,210,0.35294117647058826,385,0.5055089119999262,0.5055089119999262,0.5055089119999262,0.5055089119999262,0.9999999999999999,0.0,0.0,0.23636363636363636
atchley,134,1.0,3.532380713144198,3.532380713144198,595,210,0.35294117647058826,385,0.8432031186172733,0.8432031186172733,0.8432031186172733,0.8432031186172733,1.0,0.0,0.0,0.23636363636363636
atchley,134,2.0,3.532380713144198,7.064761426288396,595,210,0.35294117647058826,385,0.9582593181243407,0.9582593181243407,0.9582593181243407,0.9582593181243407,1.0,0.0,0.0,1.0
atchley,304,0.5,3.532380713144198,1.766190356572099,595,130,0.2184873949579832,465,0.025383472436091896,0.025383472436091896,0.14694106387535405,0.17594852273103484,0.569145511980969,0.0,0.030107526881720432,0.002150537634408602
atchley,304,1.0,3.532380713144198,3.532380713144198,595,130,0.2184873949579832,465,0.3991514931550511,0.3991514931550511,0.6191356263937882,0.6476590018818386,0.8685720078198025,0.0,0.0,0.030107526881720432
atchley,304,2.0,3.532380713144198,7.064761426288396,595,130,0.2184873949579832,465,0.794848647452717,0.794848647452717,0.8870466268321311,0.8970912104513532,0.9653870243493363,0.0,0.0,0.22795698924731184
atchley,330,0.5,3.532380713144198,1.766190356572099,595,286,0.48067226890756304,309,0.08865490690894719,0.08865490690894719,0.13185533430985025,0.13185533430985025,0.1797729351719758,0.0,0.0,0.04854368932038835
atchley,330,1.0,3.532380713144198,3.532380713144198,595,286,0.48067226890756304,309,0.5456644928175911,0.5456644928175911,0.6025934768232853,0.6025934768232853,0.651150048606775,0.0,0.0,0.04854368932038835
atchley,330,2.0,3.532380713144198,7.064761426288396,595,286,0.48067226890756304,309,0.8594713882603972,0.8594713882603972,0.881061261316603,0.881061261316603,0.898297661967778,0.0,0.0,0.04854368932038835
pcp,99,0.5,2.5932144235932295,1.2966072117966148,595,200,0.33613445378151263,395,0.0009572015513791123,0.00940868664473236,0.023837128564029347,0.07481556484479991,0.9999999999999996,0.07088607594936709,0.27341772151898736,0.05822784810126582
pcp,99,1.0,2.5932144235932295,2.5932144235932295,595,200,0.33613445378151263,395,0.17589392837848616,0.31144563691471594,0.3929284587277179,0.5229955453900916,0.9999999999999999,0.0,0.0,0.05822784810126582
pcp,99,2.0,2.5932144235932295,5.186428847186459,595,200,0.33613445378151263,395,0.6476087561646597,0.7470429348859338,0.7917323148201334,0.8504024396832225,1.0,0.0,0.0,0.05822784810126582
pcp,134,0.5,2.5932144235932295,1.2966072117966148,595,301,0.5058823529411764,294,0.4264989994245738,0.4264989994245738,0.4264989994245738,0.4264989994245738,0.4264989994245738,0.0,0.0,0.0
pcp,134,1.0,2.5932144235932295,2.5932144235932295,595,301,0.5058823529411764,294,0.808126789949529,0.808126789949529,0.808126789949529,0.808126789949529,0.808126789949529,0.0,0.0,0.0
pcp,134,2.0,2.5932144235932295,5.186428847186459,595,301,0.5058823529411764,294,0.948134339314351,0.948134339314351,0.948134339314351,0.948134339314351,0.948134339314351,0.0,0.0,1.0
pcp,304,0.5,2.5932144235932295,1.2966072117966148,595,129,0.21680672268907564,466,0.007858898170826214,0.03157282780684274,0.11589359760134771,0.13533528323661267,0.3567561070129088,0.0,0.14377682403433475,0.004291845493562232
