draw_index,seed,mean_predicted_activity,min_predicted_activity,jaccard_to_primary_panel,mean_kernel_similarity,log_determinant,isometry_score
44,20360867,282.8798377680598,259.01843056704126,0.6190476190476191,0.40016154380765656,-15.950923252323758,0.39129653571431133
45,20360868,282.34909935285293,257.57925586552295,0.5454545454545454,0.4316886545067766,-16.3007734052471,0.38332617367456906
46,20360869,276.36911917136285,257.57925586552295,0.5454545454545454,0.41956559495398416,-15.74942762289314,0.39596204471770113
47,20360870,280.8963711152994,257.57925586552295,0.4782608695652174,0.39606382919026695,-13.154809572407833,0.4612512711323537
48,20360871,280.99968863700707,257.57925586552295,0.6190476190476191,0.4367162207391533,-18.57348618265645,0.33535754736870566
49,20360872,283.815289486746,259.01843056704126,0.6190476190476191,0.3892623239503212,-14.426860451649125,0.42799710386362516
50,20360873,281.198307102333,259.01843056704126,0.5454545454545454,0.40526994875410005,-16.061704347802998,0.38875492836373843
51,20360874,283.8649062472453,257.57925586552295,0.6190476190476191,0.3943403893914045,-15.451804584005545,0.40295528383721185
52,20360875,281.36918291902845,257.57925586552295,0.6190476190476191,0.38329545835144546,-13.344329338443629,0.45613769637288576
53,20360876,278.926951065735,257.57925586552295,0.6190476190476191,0.4006704898984838,-14.95735420158474,0.4148474715271318
54,20360877,282.29029370081446,257.57925586552295,0.6190476190476191,0.39630384343290925,-16.95659849479223,0.3688198482502475
55,20360878,280.80947058287023,259.01843056704126,0.6190476190476191,0.3741160266609645,-13.67311150174082,0.44740069497072493
56,20360879,281.9467470849974,259.01843056704126,0.5454545454545454,0.40229987804602746,-15.732750486702237,0.3963506772503585
57,20360880,277.52429789082134,257.57925586552295,0.6190476190476191,0.40547652840273496,-14.645151169227834,0.4225364851440384
58,20360881,283.93443071221805,259.01843056704126,0.6190476190476191,0.3789522984236798,-13.927193885080307,0.4407635570534192
59,20360882,276.7325162213985,257.57925586552295,0.4166666666666667,0.44864422763253375,-18.2919146568708,0.3409583398070314
60,20360883,285.15043102350586,257.57925586552295,0.5454545454545454,0.42826541923513933,-16.567247568381717,0.3773644020792998
61,20360884,279.0708464505081,257.57925586552295,0.5454545454545454,0.40386172730380354,-15.810161444780753,0.3945499634107304
62,20360885,281.6560026202181,257.57925586552295,0.5454545454545454,0.38949288988053693,-12.827503177526395,0.47021793021206204
63,20360886,278.96578712847685,257.57925586552295,0.4782608695652174,0.3996236003178075,-13.755483399005934,0.4452381006381035
64,20360887,279.09372101731293,257.57925586552295,0.6190476190476191,0.39819279816163644,-14.457144085902158,0.427235352685201
65,20360888,278.59966199618776,257.57925586552295,0.4782608695652174,0.4116596127421784,-16.7433262357398,0.3734759963485763
66,20360889,282.67643490371216,257.57925586552295,0.5454545454545454,0.40875452309185123,-16.534055229400753,0.37810192226636496
67,20360890,280.67640278941934,257.57925586552295,0.4166666666666667,0.4223099854746718,-15.533307634452855,0.4010280201234309
68,20360891,281.182209787272,257.57925586552295,0.5454545454545454,0.40566632143605214,-15.204293161579482,0.4088650264944132
69,20360892,279.1955255499919,259.01843056704126,0.5454545454545454,0.4332521273297415,-17.705871140732857,0.3529171924691892
70,20360893,281.41692487435415,259.01843056704126,0.5454545454545454,0.3998022425536735,-14.874827223632582,0.41686625640035996
71,20360894,280.7437888964944,257.57925586552295,0.5454545454545454,0.4127033599975634,-15.326981180727149,0.4059248933354636
72,20360895,281.256206715044,257.57925586552295,0.4782608695652174,0.4098824412100773,-15.336332409728879,0.40570166669912844
73,20360896,281.9739720638713,257.57925586552295,0.6190476190476191,0.4044114061666126,-17.405936902213305,0.3591990306093841
74,20360897,275.8357526464938,257.57925586552295,0.7,0.40071724685670407,-15.562945404365273,0.40032947767867255
75,20360898,277.1085611262651,257.57925586552295,0.6190476190476191,0.4196476019399252,-16.321407237801658,0.3828611919138013
76,20360899,283.40530430970864,259.01843056704126,0.5454545454545454,0.391110219734641,-13.539137421830905,0.4509405130260612
77,20360900,280.37433810160877,257.57925586552295,0.5454545454545454,0.39586553060676327,-14.117824449816712,0.4358486356916634
78,20360901,281.4516128432553,257.57925586552295,0.6190476190476191,0.41125595705043405,-15.792662755414042,0.3949562964570447
79,20360902,283.847192772518,259.01843056704126,0.4782608695652174,0.3889936238846876,-13.563243926502587,0.4503015191549273
80,20360903,281.3787565134131,259.01843056704126,0.7,0.39310001819167295,-14.58425060100137,0.4240528886375383
81,20360904,281.6519033178835,259.01843056704126,0.4166666666666667,0.4214483961056854,-16.54642907001415,0.37782681222922476
82,20360905,281.61571540365776,257.57925586552295,0.7,0.38626870748313813,-14.994343426968598,0.41394581242471734
83,20360906,281.20381717924795,257.57925586552295,0.4782608695652174,0.41590397085336833,-17.856139533218826,0.34981139225669716
84,20360907,281.8343795371889,257.57925586552295,0.5454545454545454,0.37607166881294385,-12.758055735415141,0.4721427669458925
85,20360908,280.4207074304814,257.57925586552295,0.4782608695652174,0.42393227334247796,-16.397700981288992,0.3811468115371923
86,20360909,280.56363621545376,259.01843056704126,0.4166666666666667,0.4322298542294591,-15.839629948626946,0.39386662660198046
87,20360910,281.7034261447631,257.57925586552295,0.6190476190476191,0.3792880326494086,-12.778575038441677,0.4715732260023835
88,20360911,280.88248819844785,257.57925586552295,0.6190476190476191,0.4379150962565691,-18.450848276140572,0.3377855621842047
89,20360912,280.07010419582383,259.01843056704126,0.4782608695652174,0.38264335309954145,-14.286809891462605,0.4315376226613867
90,20360913,279.8538608598821,257.57925586552295,0.4782608695652174,0.41715921677675255,-16.320114692015725,0.38289030276283187
91,20360914,280.0013258599524,257.57925586552295,0.5454545454545454,0.4158173326188329,-16.742252248341945,0.37349959171233565
92,20360915,278.3988301092458,257.57925586552295,0.6190476190476191,0.390910802228052,-15.483432584781543,0.4022062943174113
93,20360916,282.35877684540304,257.57925586552295,0.4782608695652174,0.39602251581318393,-14.281319773657833,0.4316770094254976
94,20360917,282.76927947810356,259.01843056704126,0.6190476190476191,0.3668095230848656,-12.821790392076709,0.47037597171519224
95,20360918,281.9278274447764,257.57925586552295,0.5454545454545454,0.3794848741428724,-12.852631513129637,0.46952339694296014
96,20360919,281.28628271801267,257.57925586552295,0.5454545454545454,0.43033794121599067,-17.216813334060618,0.3632174001382266
97,20360920,283.04778147584636,257.57925586552295,0.5454545454545454,0.41162312946184726,-15.326927775834687,0.4059261685360122
98,20360921,280.485415754655,257.57925586552295,0.6190476190476191,0.3898733390630537,-14.421488417144381,0.42813237318871283
99,20360922,283.5981138286219,257.57925586552295,0.7,0.37916104769724335,-13.56485516472478,0.45025884217626605
